Y_INDEX	X_INDEX	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1464625	885375	0.1	0.06	0.01	0.02	0.03	0.04	0.13	0.22	0.48	0.91	1.84	2.55	2.48	2.12	2.03	1.45	0.93	0.68	0.57	0.51	0.42	0.36	0.3	0.17
1464625	886125	0.15	0.14	0.14	0.14	0.15	0.16	0.14	0.16	0.14	0.16	0.18	0.22	0.23	0.2	0.23	0.18	0.21	0.19	0.2	0.17	0.2	0.18	0.17	0.18
1464875	885125	0.06	0.03	0	0.01	0.02	0.02	0.08	0.13	0.29	0.55	1.1	1.53	1.49	1.27	1.22	0.87	0.56	0.41	0.34	0.31	0.25	0.22	0.18	0.1
1464875	885375	0.82	0.71	0.62	0.64	0.67	0.74	0.82	1.03	1.35	2.1	3.59	4.88	4.84	4.15	4.12	3.01	2.3	1.84	1.72	1.51	1.5	1.33	1.2	1.05
1464875	886125	0.15	0.14	0.14	0.14	0.15	0.16	0.14	0.16	0.14	0.16	0.18	0.22	0.23	0.2	0.23	0.18	0.21	0.19	0.2	0.17	0.2	0.18	0.17	0.18
1489625	932625	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.04	0.05	0.04	0.04	0.04	0.04	0.03	0.03
1465125	885125	0.3	0.17	0.02	0.07	0.07	0.11	0.38	0.64	1.39	2.62	5.29	7.33	7.12	6.11	5.84	4.17	2.68	1.98	1.66	1.49	1.22	1.05	0.86	0.5
1489625	932875	0	0	0	0	0	0	0	0.01	0.02	0.04	0.07	0.1	0.14	0.11	0.07	0.06	0.06	0.04	0.04	0.03	0.02	0.02	0.01	0.01
1465125	885375	0.73	0.59	0.47	0.5	0.53	0.59	0.76	1	1.52	2.52	4.61	6.3	6.19	5.32	5.2	3.77	2.7	2.1	1.89	1.68	1.57	1.38	1.22	0.97
1489625	933125	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1465125	885875	0.16	0.14	0.14	0.14	0.15	0.16	0.14	0.16	0.14	0.16	0.18	0.22	0.23	0.21	0.23	0.18	0.21	0.19	0.2	0.17	0.2	0.18	0.18	0.18
1489625	933625	0	0	0	0	0	0	0.01	0.03	0.06	0.12	0.2	0.29	0.41	0.32	0.21	0.18	0.17	0.13	0.11	0.09	0.06	0.05	0.03	0.02
1489625	933875	0.1	0.09	0.1	0.09	0.09	0.09	0.1	0.13	0.17	0.22	0.31	0.43	0.57	0.46	0.32	0.28	0.27	0.23	0.21	0.19	0.16	0.15	0.12	0.1
1489625	934125	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.06	0.07	0.09	0.08	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.03
1465375	885125	1.22	0.91	0.59	0.68	0.73	0.85	1.36	1.95	3.43	6.05	11.62	15.98	15.6	13.4	12.94	9.32	6.34	4.81	4.19	3.74	3.3	2.88	2.46	1.77
1465375	885375	1.81	1.46	1.13	1.22	1.29	1.45	1.9	2.54	3.93	6.6	12.14	16.61	16.3	14.01	13.65	9.89	7.04	5.46	4.89	4.35	4.02	3.54	3.1	2.46
1489625	934625	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.01	0.01	0	0	0	0	0	0	0	0	0
1489625	934875	0.06	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.07	0.08	0.11	0.17	0.23	0.18	0.12	0.09	0.09	0.08	0.08	0.08	0.06	0.06	0.06	0.05
1489625	935125	0.08	0.08	0.08	0.07	0.08	0.08	0.09	0.11	0.18	0.27	0.44	0.66	0.94	0.74	0.47	0.37	0.34	0.28	0.26	0.23	0.17	0.14	0.11	0.09
1489625	935625	0	0	0	0	0	0	0	0.02	0.04	0.08	0.13	0.19	0.27	0.21	0.14	0.12	0.12	0.09	0.07	0.06	0.04	0.03	0.02	0.01
1489625	936125	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03
1467875	886875	0.14	0.13	0.13	0.13	0.14	0.15	0.13	0.15	0.13	0.15	0.16	0.19	0.21	0.18	0.21	0.16	0.19	0.17	0.18	0.16	0.18	0.17	0.16	0.17
1467875	887125	0.45	0.42	0.41	0.41	0.43	0.46	0.42	0.46	0.41	0.47	0.5	0.6	0.64	0.57	0.64	0.51	0.58	0.53	0.56	0.49	0.57	0.52	0.5	0.52
