	00시~01시	01시~02시	02시~03시	03시~04시	04시~05시	05시~06시	06시~07시	07시~08시	08시~09시	09시~10시	10시~11시	11시~12시	12시~13시	13시~14시	14시~15시	15시~16시	16시~17시	17시~18시	18시~19시	19시~20시	20시~21시	21시~22시	22시~23시	23시~00시
협재해수욕장	1.327812348	0.848967129	0.724050984	1.142751394	0.645400079	1.184390108	0.976196535	1.825163663	3.273265632	5.061417104	4.663536052	5.854865946	6.375349881	7.006870388	6.652941313	6.833375743	7.224317009	8.070970876	7.02074996	6.958291887	5.794721136	4.698234981	3.398181776	2.438178075
제주공항	0.936588678	0.600219103	0.422262111	0.352828025	0.310653246	0.436663255	0.887213327	2.338128571	4.546132521	6.195063494	6.229523374	6.425996122	6.388964609	6.270155172	6.200721086	6.646642219	7.038559063	7.422761008	7.143481682	7.31012349	7.059132125	4.948335896	2.445622824	1.444228999
성산항+성산일충봉	1.302477407	0.850720856	0.491249987	0.348388527	0.337910676	0.600058434	1.383076257	2.331523218	3.933828345	5.778131517	7.650039796	9.01296634	8.336540496	7.308502171	7.044943933	6.194827569	5.975800195	6.067078392	6.522058898	5.229253352	4.808728855	3.784720473	2.775018387	1.932155918
우도	0.790088526	0.397830793	0.267506913	0.17147879	0.19419973	0.282940004	0.642616766	1.447280989	2.459434549	4.37699612	6.740402546	8.906608364	10.68355733	11.24686515	10.99564873	9.745997042	7.686965468	5.705099351	4.281396695	3.910573811	3.22894562	2.647632521	1.890982359	1.298951836
카멜리아힐	0.654069767	0.384136213	0.342607973	0.280315615	0.280315615	0.269933555	0.705980066	1.443106312	2.906976744	4.921096346	5.907392027	7.443936877	8.648255814	8.34717608	7.765780731	7.516611296	7.485465116	7.942275748	7.703488372	6.519933555	5.024916944	3.675249169	2.574750831	1.256229236
제주유리박물관	1.403636695	0.870437041	0.656245728	0.560543226	0.61523037	0.679032038	1.458323839	2.260401951	3.65036686	5.095018913	5.8879825	6.767534066	7.606070273	7.323520029	6.849564781	6.721961446	6.876908353	7.109328715	6.986282641	6.220662626	5.136034271	4.147108417	3.153625302	1.964179921
중문관광단지	1.430490787	0.75786804	0.531165797	0.415649383	0.374380017	0.536811007	0.956395756	2.064722634	3.695425342	5.303839346	6.066347371	6.972872847	6.52009561	6.615694808	7.021626215	6.995531056	7.372789577	7.395318894	6.696901728	6.055916231	5.403700438	4.9539219	3.773908476	2.088626739
약천사	1.069314493	0.954745083	0.763796066	0.725606263	0.744701165	0.80198587	1.126599198	1.508497231	3.265228184	5.690280695	6.014894023	6.32041245	6.148558335	6.053083827	6.072178728	5.881229712	6.358602253	7.00782891	8.191712813	7.962573993	7.58067596	5.155623449	3.112468971	1.48940233
녹차미로공원	2.613065327	2.412060302	2.266890006	2.177554439	2.412060302	2.345058626	2.914572864	3.874930207	4.243439419	5.203796762	5.505304299	5.862646566	6.074818537	5.974316025	5.471803462	4.969290899	5.348967058	5.639307649	5.594639866	4.388609715	4.209938582	3.830262423	3.472920156	3.19374651
천지연폭포	2.206695622	1.528231137	1.170789609	0.894278238	0.694650517	0.691952845	1.25711511	1.962556314	3.279020206	4.391809868	5.067576681	5.555855297	5.857994551	5.754134182	5.526180906	5.670506353	5.82832016	6.455528879	7.42534193	8.057945993	7.494132564	5.960506083	4.329763414	2.939113545
