,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,,,,
2,10,18,,,,,,,,,,,,,,,,
3,22,20,12,,,,,,,,,,,,,,,
4,12,9,13,16,,,,,,,,,,,,,,
5,16,18,6,6,12,,,,,,,,,,,,,
6,18,1,20,21,7,17,,,,,,,,,,,,
7,13,15,7,10,8,5,14,,,,,,,,,,,
8,6,13,6,17,8,13,14,9,,,,,,,,,,
9,6,13,7,18,10,13,14,11,3,,,,,,,,,
10,2,16,8,19,15,14,16,13,5,6,,,,,,,,
11,25,23,16,4,18,14,22,15,20,24,23,,,,,,,
12,24,22,15,3,18,15,22,13,19,23,22,2,,,,,,
13,30,27,21,9,23,16,25,20,25,30,29,5,6,,,,,
14,20,8,19,19,7,15,7,12,13,16,17,19,20,19,,,,
15,34,26,24,16,22,18,25,23,26,29,30,12,13,9,19,,,
16,30,25,21,12,21,15,24,20,25,28,29,8,9,3,19,8,,
17,33,25,24,15,22,18,24,22,26,29,30,11,13,7,18,2,7,
